Комиссия,Шаблон товара,Тип товара,Подкатегория товара,Категория
0.26,"500362_Рейка нивелирная, веха",Инструменты измерения плоскостей и неровностей,Контрольно-измерительные инструменты,"Инструменты и оборудование (ремонт, строительство, производство)"
0.26,500363_Приемник лазерного луча,Инструменты измерения плоскостей и неровностей,Контрольно-измерительные инструменты,"Инструменты и оборудование (ремонт, строительство, производство)"
0.18,200032_Кирпич,"Блоки, кирпич и бетонные изделия",Конструкционные материалы и изделия,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200138_Арматура,Армирование и крепёжные элементы,Конструкционные материалы и изделия,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200001_Лестницы раскладные и универсальные,Лестницы и рабочие платформы,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200003_Аксессуары для лестниц,Лестницы и рабочие платформы,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200007_Бытовые и профессиональные строительные леса,Строительные леса и платформы,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200017_Сухая кладочная смесь,Строительные смеси и растворы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200031_Блоки строительные,"Блоки, кирпич и бетонные изделия",Конструкционные материалы и изделия,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200033_Необработанная и ламинированная древесина,"Рейки, планки и декоративные элементы",Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.22,200280_Полотенцесушитель электрический,Полотенцесушители электрические,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.21,"200034_Тент, сетка фасадная и пленка строительная",Ограждение строительной площадки,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.22,200225_Межкомнатная дверь,Межкомнатные двери,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.18,200046_Покрытие имитирующее черепицу,Кровельные покрытия,Кровельные покрытия и решения,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200048_Битумный волнистый лист,Кровельные покрытия,Кровельные покрытия и решения,"Стройматериалы (конструкции, системы, оборудование)"
0.22,200054_Водосточный желоб,Водосточные системы,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200122_Дрова,Топливо и средства розжига,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.21,200010_Козлы строительные,Верстаки,Организация рабочего места,"Инструменты и оборудование (ремонт, строительство, производство)"
0.22,200057_Точечный водоотвод,Дренажные системы и водоотвод,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.27,200023_Средство для чистки,Универсальные чистящие средства,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.22,200065_Труба дренажная и аксессуары,Дренажные системы и водоотвод,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.14,200070_Гидроизоляционные ленты,Гидроизоляция и пароизоляция,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.14,200071_Изоляция из пенополистирола,Теплоизоляционные материалы,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.14,200075_Шумоизоляция,Шумоизоляция и акустические материалы,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.22,200060_Внешний резервуар,Резервуары и кессоны,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200084_Деревянные плиты,Мебельные панели и щиты,Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.18,200086_Плиты пазогребневые,Строительные и пазогребневые плиты,Внутренние перегородки и подвесные потолки,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200087_Минеральные и кассетные плиты для подвесного потолка,Подвесные и реечные потолки,Внутренние перегородки и подвесные потолки,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200021_Ускоритель твердения цементных растворов,Добавки и пластификаторы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200088_Профили и крепёж для ГКЛ и каркасных конструкций,Крепёж и аксессуары для ГКЛ,Внутренние перегородки и подвесные потолки,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200091_Специальная часть (окно и панель),Оконные комплектующие и аксессуары,Окна,"Окна и двери (конструкции, системы)"
0.2,200096_Садовый очаг,Уличная печь и очаг,"Грили, барбекю и оборудование для готовки","Дача и сад (садоводство, ландшафт, отдых)"
0.26,200099_Топка на дровах,Печи и топки,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.21,200118_Металлический камин,Камины и аксессуары,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.19,"200123_Камень искусственный, камень натуральный и клинкерная плитка для стен и фасадов",Декоративные фасадные покрытия,Облицовочные материалы,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200127_Сайдинг и фасадные панели,Фасадные панели и сайдинг,Облицовочные материалы,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200341_Hi-Fi кабели,Кабели и разъемы для электроники,Электроника и цифровые устройства,"Техника (бытовая, климатическая, электроника и сети)"
0.23,200022_Средство против плесени,Обработка средством против плесени,Подготовка основания,"Краски (ЛКМ, подготовка, инструменты)"
0.19,200128_Доборные элементы для фасада,Фасадные панели и сайдинг,Облицовочные материалы,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200132_Сыпучие материалы,Строительные смеси и растворы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200145_Софит-сайдинг,Доборные элементы для кровли и крепеж,Кровельные покрытия и решения,"Стройматериалы (конструкции, системы, оборудование)"
0.27,200853_Ковры,Ковровое покрытие,Ковровые напольные покрытия,"Напольные покрытия (ковры, ламинат, ПВХ и аксессуары)"
0.18,200041_Изолированная сэндвич-панель,Сэндвич-панели и комплектующие,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.15,200115_Котлы на твердом топливе,Котлы,Водяное отопление,"Отопление (системы, оборудование, аксессуары)"
0.24,200139_Проволока вязальная,Армирование и крепёжные элементы,Конструкционные материалы и изделия,"Стройматериалы (конструкции, системы, оборудование)"
0.22,200181_Минеральное стекло,Стеклянные изделия и материалы,Дополнительные элементы для окон и дверей,"Окна и двери (конструкции, системы)"
0.19,200018_Клей-раствор,Затирка и клей для плитки,Товары и аксессуары для укладки и отделки плитки,"Плитка (керамогранит, мозаика, аксессуары для укладки)"
0.14,200052_Гидроизоляция цементная,Гидроизоляция и защита кровли,Кровельные покрытия и решения,"Стройматериалы (конструкции, системы, оборудование)"
0.24,200190_Рамочная москитная сетка,Москитные сетки и шторы,Окна,"Окна и двери (конструкции, системы)"
0.22,200066_Водосточная труба,Водосточные системы,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200153_Средство для розжига камина,Топливо и средства розжига,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.22,200191_Москитная сетка на петлях,Москитные сетки и шторы,Окна,"Окна и двери (конструкции, системы)"
0.24,200192_Москитная штора,Москитные сетки и шторы,Окна,"Окна и двери (конструкции, системы)"
0.25,200195_Секционные гаражные ворота,Гаражные ворота и комплектующие,"Ворота, заборы и ограждения","Стройматериалы (конструкции, системы, оборудование)"
0.23,200200_Мансардное окно,Мансардные окна и комплектующие,Окна,"Окна и двери (конструкции, системы)"
0.14,200082_Гидроизоляционные аксессуары,Гидроизоляция и пароизоляция,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.19,200169_Декоративная 3D панель,Декоративные панели и стеновые покрытия,Внутренняя деревянная отделка,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.23,200203_Аксессуары для мансардных окон,Мансардные окна и комплектующие,Окна,"Окна и двери (конструкции, системы)"
0.27,200208_Окна,Основные типы окон,Окна,"Окна и двери (конструкции, системы)"
0.22,200069_Детали для водосточной трубы,Водосточные системы,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200175_Панели ПВХ,Декоративные панели и стеновые покрытия,Внутренняя деревянная отделка,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.22,200216_Входная дверь для дома и для квартиры,Входная и служебная дверь,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.24,202158_Щетка,"Метелки, щетки, совки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.21,"200009_Колеса (строительные леса, тачка, тележка складская)",Тележки и прицепы,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200094_Пеллеты,Топливо и средства розжига,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.23,200217_Оклады для мансардных окон,Мансардные окна и комплектующие,Окна,"Окна и двери (конструкции, системы)"
0.18,200002_Кровельная лестница,Лестницы и рабочие платформы,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.18,200014_Цемент,Строительные смеси и растворы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.22,200056_Канал для водоотвода и комплектующие,Дренажные системы и водоотвод,Системы водоотведения и дренажа,"Стройматериалы (конструкции, системы, оборудование)"
0.24,200522_Заклепки,Оснастка для заклепочников,Оснастка и аксессуары для инструмента и техники,"Инструменты и оборудование (ремонт, строительство, производство)"
0.14,200078_Фасадная термопанель,Теплоизоляционные материалы,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.14,200079_Теплоизоляция из PIR-плит,Теплоизоляционные материалы,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.18,200083_Плиты строительные,Строительные и пазогребневые плиты,Внутренние перегородки и подвесные потолки,"Стройматериалы (конструкции, системы, оборудование)"
0.27,200219_Алюминиевое окно,Основные типы окон,Окна,"Окна и двери (конструкции, системы)"
0.22,200222_Ревизионный лючок,Ревизионный люк,Декоративные и функциональные элементы,"Плитка (керамогранит, мозаика, аксессуары для укладки)"
0.19,"200163_Рейки, бруски, доски","Рейки, планки и декоративные элементы",Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.24,200177_Кляймеры (крепеж),Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.19,200185_Навес с выдвижным рычагом,Маркизы от солнца,Дачно-хозяйственные постройки и сантехника,"Дача и сад (садоводство, ландшафт, отдых)"
0.24,200188_Рулонная москитная сетка,Москитные сетки и шторы,Окна,"Окна и двери (конструкции, системы)"
0.22,200204_Козырек,Козырьки и навесы у входной двери,Дополнительные элементы для окон и дверей,"Окна и двери (конструкции, системы)"
0.22,200223_Дверной блок,Дверные блоки и комплектующие,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.22,200224_Дверная коробка и аксессуары для установки дверей,Дверные блоки и комплектующие,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.26,200107_Утепленный дымоход,Дымоходы и комплектующие,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.26,200109_Дымник,Дымоходы и комплектующие,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.19,200156_Плинтус деревянный,Плинтусы и декоративные профили,Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.24,200157_Доска пола,Террасные и напольные покрытия,Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.26,200119_Декоративная облицовка камина,Камины и аксессуары,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.22,200226_Дверь межкомнатная (раздвижная),Раздвижные и складные двери,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.23,200243_Балясины и столбы,Ограждения и перила,Лестницы и ограждения,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.26,200120_Аксессуары для отопительного оборудования на биомассе,Аксессуары для печей и каминов,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.18,200134_Противоморозная добавка,Добавки и пластификаторы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.25,200212_Роллетные системы,Гаражные ворота и комплектующие,"Ворота, заборы и ограждения","Стройматериалы (конструкции, системы, оборудование)"
0.18,200040_Металлочерепица и профнастил,Кровельные покрытия,Кровельные покрытия и решения,"Стройматериалы (конструкции, системы, оборудование)"
0.19,200135_Пластификатор,Добавки и пластификаторы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.21,200137_Знаки безопасности,Ограждение строительной площадки,Оборудование для стройки,"Стройматериалы (конструкции, системы, оборудование)"
0.22,200182_Синтетическое стекло,Стеклянные изделия и материалы,Дополнительные элементы для окон и дверей,"Окна и двери (конструкции, системы)"
0.21,200382_Рации,Рации и переговорные устройства,Умный дом и системы безопасности,"Электротовары (монтаж, защита, управление)"
0.18,200141_Металлические доборные элементы для кровли,Доборные элементы для кровли и крепеж,Кровельные покрытия и решения,"Стройматериалы (конструкции, системы, оборудование)"
0.24,200193_Полотно для москитной сетки,Москитные сетки и шторы,Окна,"Окна и двери (конструкции, системы)"
0.2,201036_Чаша Генуя,Писсуары и Турецкий туалет,"Унитазы, смывные бачки, биде","Сантехника (ванная комната, санузел, аксессуары)"
0.14,200081_Пароизоляция,Гидроизоляция и пароизоляция,"Тепло-, гидро- и шумоизоляция","Стройматериалы (конструкции, системы, оборудование)"
0.19,200166_Вагонка,Вагонка и профили для отделки,Внутренняя деревянная отделка,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.22,200227_Дверь межкомнатная (гармошка),Раздвижные и складные двери,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.22,200230_Дверь для бани и сауны,Межкомнатные двери,Двери и дверные системы,"Окна и двери (конструкции, системы)"
0.21,200250_Ламель,"Рейки, планки и декоративные элементы",Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.26,200152_Механическая чистка дымохода,Дымоходы и комплектующие,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.23,200218_Штора для мансардного окна,Мансардные окна и комплектующие,Окна,"Окна и двери (конструкции, системы)"
0.22,200234_Ручки и аксессуары для раздвижных дверей,Фурнитура и механизмы для раздвижных дверей (шкаф-купе),Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.19,200015_Известь и мел,Строительные смеси и растворы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.27,200025_Краситель,Добавки и пластификаторы,Сухие строительные смеси и добавки,"Стройматериалы (конструкции, системы, оборудование)"
0.25,200237_Ручка для раздвижной двери,Фурнитура и механизмы для раздвижных дверей (шкаф-купе),Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.19,200238_Панели МДФ,Декоративные панели и стеновые покрытия,Внутренняя деревянная отделка,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.18,200239_Мебельная панель,Мебельные панели и щиты,Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.23,200241_Чердачные лестницы,Лестницы и элементы лестниц,Лестницы и ограждения,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.23,200242_Межэтажные лестницы,Лестницы и элементы лестниц,Лестницы и ограждения,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.23,200244_Крепление для балясин и поручней,Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.23,200151_Химическая чистка дымохода,Дымоходы и комплектующие,"Печи, камины и аксессуары","Отопление (системы, оборудование, аксессуары)"
0.19,200165_Отделочные профили,Плинтусы и декоративные профили,Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.21,200005_Бетоносмеситель электрический,Строительное оборудование и техника,Строительное оборудование и техника,"Инструменты и оборудование (ремонт, строительство, производство)"
0.23,200246_Поручни,Ограждения и перила,Лестницы и ограждения,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.23,200247_Система ограждений для лестниц,Ограждения и перила,Лестницы и ограждения,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.23,200248_Защитный барьер для детей,Ограждения и перила,Лестницы и ограждения,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.19,200256_Декорирование балки,"Рейки, планки и декоративные элементы",Пиломатериалы и погонажные изделия,"Столярные изделия (готовые постройки, отделка, пиломатериалы)"
0.26,200269_Терморегулятор,Регулирование нагрева,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.19,200270_Метеостанции,Метеостанции и анализаторы воздуха,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.21,200934_Сухой туалет,Садовый душ и туалет,Дачно-хозяйственные постройки и сантехника,"Дача и сад (садоводство, ландшафт, отдых)"
0.26,200273_Термометры и гидрометры,Измерительные приборы для растений,Растениеводство и защита растений,"Дача и сад (садоводство, ландшафт, отдых)"
0.23,200282_Электрообогреватель,Электрообогреватели,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.21,200458_Распределитель ТВ сигнала,Аксессуары для наземной и спутниковой антенны,Телекоммуникационное оборудование,"Техника (бытовая, климатическая, электроника и сети)"
0.23,200232_Комплект фурнитуры для межкомнатных раздвижных дверей,Фурнитура и механизмы для раздвижных дверей (шкаф-купе),Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.2,200284_Конвектор электрический стационарный,Конвекторы электрические стационарные,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.23,200286_Мобильный электронагреватель,Мобильные электронагреватели,Электрическое отопление,"Отопление (системы, оборудование, аксессуары)"
0.18,"200035_Сетка строительная, сетка рабица",Армирование и крепёжные элементы,Конструкционные материалы и изделия,"Стройматериалы (конструкции, системы, оборудование)"
0.2,200287_Кондиционер,Кондиционеры и сплит-системы,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.2,201643_Топор,Инструменты для колки дров и комплектующие,Садовые инструменты (ручные),"Дача и сад (садоводство, ландшафт, отдых)"
0.21,200131_Мешки для мусора,Мешки для мусора,Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.25,201851_Анкер,Анкеры,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.2,200288_Мобильные кондиционеры,Кондиционеры и сплит-системы,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.25,200289_Труба и соединение для кондиционера,Запчасти для климатической техники,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.2,200291_Сплит-системы,Кондиционеры и сплит-системы,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.29,200292_Вентиляторы вытяжные,Вентиляторы и системы вентиляции,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.29,200295_Вентиляционные аксессуары,Дополнительные элементы вентиляции,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.2,200297_Увлажнитель воздуха,"Обработка воздуха: увлажнение, очистка, осушение",Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.19,"200300_Фильтры для осушителей, увлажнителей, очистителей","Обработка воздуха: увлажнение, очистка, осушение",Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.29,200303_Розетка с выключателем,Выключатель и розетка,"Выключатели, розетки и установочные изделия","Электротовары (монтаж, защита, управление)"
0.29,200304_Розетка,Выключатель и розетка,"Выключатели, розетки и установочные изделия","Электротовары (монтаж, защита, управление)"
0.29,200306_Рамки для розеток и включателей,Выключатель и розетка,"Выключатели, розетки и установочные изделия","Электротовары (монтаж, защита, управление)"
0.29,200307_Ночник или атмосферный светильник,Настольные лампы,Настольные лампы и торшеры,"Освещение (декоративное, техническое, уличное)"
0.29,200308_Силовые розетки и вилки,Штепсельная вилка и переходник,"Выключатели, розетки и установочные изделия","Электротовары (монтаж, защита, управление)"
0.29,200309_Выключатели и тумблеры,Выключатель и розетка,"Выключатели, розетки и установочные изделия","Электротовары (монтаж, защита, управление)"
