origin_zone,destination_zone,volume_break,tariff,price,extra_liter_price
9,Москва и МО,0 до 1,9-Москва и МО-0 до 1,296,0
9,Москва и МО,1 до 3,9-Москва и МО-1 до 3,368,0
9,Москва и МО,3 до 5,9-Москва и МО-3 до 5,382,0
9,Москва и МО,5 до 10,9-Москва и МО-5 до 10,448,0
9,Москва и МО,10 до 15,9-Москва и МО-10 до 15,503,0
9,Москва и МО,15 до 20,9-Москва и МО-15 до 20,608,0
9,Москва и МО,20 до 30,9-Москва и МО-20 до 30,809,0
9,Москва и МО,30 до 50,9-Москва и МО-30 до 50,1152,0
9,Москва и МО,50 до 80,9-Москва и МО-50 до 80,2083,0
9,Москва и МО,80 до 100,9-Москва и МО-80 до 100,2569,0
9,Москва и МО,100 до 120,9-Москва и МО-100 до 120,2938,0
9,Москва и МО,от 120,9-Москва и МО-от 120,2938,18
10,Москва и МО,0 до 1,10-Москва и МО-0 до 1,315,0
10,Москва и МО,1 до 3,10-Москва и МО-1 до 3,419,0
10,Москва и МО,3 до 5,10-Москва и МО-3 до 5,431,0
10,Москва и МО,5 до 10,10-Москва и МО-5 до 10,499,0
10,Москва и МО,10 до 15,10-Москва и МО-10 до 15,518,0
10,Москва и МО,15 до 20,10-Москва и МО-15 до 20,662,0
10,Москва и МО,20 до 30,10-Москва и МО-20 до 30,891,0
10,Москва и МО,30 до 50,10-Москва и МО-30 до 50,2194,0
10,Москва и МО,50 до 80,10-Москва и МО-50 до 80,3316,0
10,Москва и МО,80 до 100,10-Москва и МО-80 до 100,4243,0
10,Москва и МО,100 до 120,10-Москва и МО-100 до 120,4865,0
10,Москва и МО,от 120,10-Москва и МО-от 120,4865,36
9,СПБ и ЛО,0 до 1,9-СПБ и ЛО-0 до 1,296,0
9,СПБ и ЛО,1 до 3,9-СПБ и ЛО-1 до 3,368,0
9,СПБ и ЛО,3 до 5,9-СПБ и ЛО-3 до 5,382,0
9,СПБ и ЛО,5 до 10,9-СПБ и ЛО-5 до 10,448,0
9,СПБ и ЛО,10 до 15,9-СПБ и ЛО-10 до 15,503,0
9,СПБ и ЛО,15 до 20,9-СПБ и ЛО-15 до 20,608,0
9,СПБ и ЛО,20 до 30,9-СПБ и ЛО-20 до 30,809,0
9,СПБ и ЛО,30 до 50,9-СПБ и ЛО-30 до 50,1152,0
9,СПБ и ЛО,50 до 80,9-СПБ и ЛО-50 до 80,2083,0
9,СПБ и ЛО,80 до 100,9-СПБ и ЛО-80 до 100,2569,0
9,СПБ и ЛО,100 до 120,9-СПБ и ЛО-100 до 120,2938,0
9,СПБ и ЛО,от 120,9-СПБ и ЛО-от 120,2938,18
10,СПБ и ЛО,0 до 1,10-СПБ и ЛО-0 до 1,315,0
10,СПБ и ЛО,1 до 3,10-СПБ и ЛО-1 до 3,419,0
10,СПБ и ЛО,3 до 5,10-СПБ и ЛО-3 до 5,431,0
10,СПБ и ЛО,5 до 10,10-СПБ и ЛО-5 до 10,499,0
10,СПБ и ЛО,10 до 15,10-СПБ и ЛО-10 до 15,518,0
10,СПБ и ЛО,15 до 20,10-СПБ и ЛО-15 до 20,662,0
10,СПБ и ЛО,20 до 30,10-СПБ и ЛО-20 до 30,891,0
10,СПБ и ЛО,30 до 50,10-СПБ и ЛО-30 до 50,2194,0
10,СПБ и ЛО,50 до 80,10-СПБ и ЛО-50 до 80,3316,0
10,СПБ и ЛО,80 до 100,10-СПБ и ЛО-80 до 100,4243,0
10,СПБ и ЛО,100 до 120,10-СПБ и ЛО-100 до 120,4865,0
10,СПБ и ЛО,от 120,10-СПБ и ЛО-от 120,4865,36
9,1,0 до 1,9-1-0 до 1,296,0
9,1,1 до 3,9-1-1 до 3,368,0
9,1,3 до 5,9-1-3 до 5,382,0
9,1,5 до 10,9-1-5 до 10,448,0
9,1,10 до 15,9-1-10 до 15,503,0
9,1,15 до 20,9-1-15 до 20,608,0
9,1,20 до 30,9-1-20 до 30,809,0
9,1,30 до 50,9-1-30 до 50,1152,0
9,1,50 до 80,9-1-50 до 80,2083,0
9,1,80 до 100,9-1-80 до 100,2569,0
9,1,100 до 120,9-1-100 до 120,2938,0
9,1,от 120,9-1-от 120,2938,18
10,1,0 до 1,10-1-0 до 1,315,0
10,1,1 до 3,10-1-1 до 3,419,0
10,1,3 до 5,10-1-3 до 5,431,0
10,1,5 до 10,10-1-5 до 10,499,0
10,1,10 до 15,10-1-10 до 15,518,0
10,1,15 до 20,10-1-15 до 20,662,0
10,1,20 до 30,10-1-20 до 30,891,0
10,1,30 до 50,10-1-30 до 50,2194,0
10,1,50 до 80,10-1-50 до 80,3316,0
10,1,80 до 100,10-1-80 до 100,4243,0
10,1,100 до 120,10-1-100 до 120,4865,0
